name,company
Maruti 800 AC,Maruti
Maruti Wagon R,Maruti
Hyundai Verna 1.6,Hyundai
Datsun RediGO T,Datsun
Honda Amaze VX,Honda
Maruti Alto LX,Maruti
Hyundai Xcent 1.2,Hyundai
Tata Indigo Grand,Tata
Hyundai Creta 1.6,Hyundai
Maruti Celerio Green,Maruti
Chevrolet Sail 1.2,Chevrolet
Tata Indigo Grand,Tata
Toyota Corolla Altis,Toyota
Maruti 800 AC,Maruti
Maruti Wagon R,Maruti
Hyundai Verna 1.6,Hyundai
Datsun RediGO T,Datsun
Honda Amaze VX,Honda
Maruti Alto LX,Maruti
Hyundai Xcent 1.2,Hyundai
Tata Indigo Grand,Tata
Hyundai Creta 1.6,Hyundai
Maruti Celerio Green,Maruti
Chevrolet Sail 1.2,Chevrolet
Tata Indigo Grand,Tata
Toyota Corolla Altis,Toyota
Maruti Ciaz VXi,Maruti
Hyundai Venue SX,Hyundai
Chevrolet Enjoy TCDi,Chevrolet
Jaguar XF 2.2,Jaguar
Mercedes-Benz New C-Class,Mercedes-Benz
Maruti Vitara Brezza,Maruti
Audi Q5 2.0,Audi
Honda City V,Honda
Tata Tigor 1.2,Tata
Audi A6 2.0,Audi
Mercedes-Benz New C-Class,Mercedes-Benz
Skoda Superb Ambition,Skoda
Toyota Corolla Altis,Toyota
Toyota Innova 2.5,Toyota
Jeep Compass 1.4,Jeep
Mercedes-Benz E-Class E,Mercedes-Benz
Hyundai i10 Magna,Hyundai
BMW 3 Series,BMW
Audi Q7 35,Audi
Hyundai Elantra CRDi,Hyundai
Mahindra Scorpio 1.99,Mahindra
Honda City i,Honda
Maruti Wagon R,Maruti
Maruti Wagon R,Maruti
Mahindra Scorpio LX,Mahindra
Hyundai Santro Xing,Hyundai
Hyundai Grand i10,Hyundai
Maruti Alto LXi,Maruti
Maruti Swift Dzire,Maruti
Maruti Eeco 5,Maruti
Hyundai i20 Sportz,Hyundai
Maruti Omni Maruti,Maruti
Maruti Swift ZDi,Maruti
Hyundai i20 2015-2017,Hyundai
Maruti Alto LXi,Maruti
Mahindra Jeep CL,Mahindra
Honda City i,Honda
Maruti Wagon R,Maruti
Tata Indica DLS,Tata
Hyundai EON Magna,Hyundai
Toyota Etios GD,Toyota
Maruti Alto LXi,Maruti
Maruti Alto LXi,Maruti
Chevrolet Tavera Neo,Chevrolet
Toyota Corolla Altis,Toyota
Mahindra Scorpio 1.99,Mahindra
Hyundai EON Magna,Hyundai
Tata Indigo Classic,Tata
Toyota Innova 2.5,Toyota
Tata Indica Vista,Tata
Maruti Swift 1.3,Maruti
Ford EcoSport 1.5,Ford
Maruti Ciaz 1.3,Maruti
Honda Civic 1.8,Honda
Hyundai i10 Sportz,Hyundai
Skoda Rapid 1.5,Skoda
Hyundai Getz GLS,Hyundai
Nissan Terrano XL,Nissan
Hyundai Grand i10,Hyundai
Hyundai Elite i20,Hyundai
Honda Amaze S,Honda
Honda Brio S,Honda
Hyundai Creta 1.6,Hyundai
Mahindra XUV500 W8,Mahindra
Renault Duster 85PS,Renault
Hyundai Santro Xing,Hyundai
Mahindra Bolero 2011-2019,Mahindra
Audi A6 2.0,Audi
Fiat Avventura MULTIJET,Fiat
Audi A8 4.2,Audi
Datsun RediGO 1.0,Datsun
Volkswagen Jetta 1.4,Volkswagen
Audi A4 2.0,Audi
Honda Civic 1.8,Honda
Mercedes-Benz E-Class Exclusive,Mercedes-Benz
BMW X1 sDrive,BMW
Volvo V40 D3,Volvo
Maruti SX4 Zxi,Maruti
BMW 7 Series,BMW
Mahindra Bolero Power,Mahindra
Hyundai Sonata CRDi,Hyundai
Nissan Micra Active,Nissan
Mahindra Xylo D4,Mahindra
Hyundai Elite i20,Hyundai
Renault KWID RXT,Renault
Mahindra Xylo E4,Mahindra
Maruti Wagon R,Maruti
Maruti SX4 ZXI,Maruti
Renault KWID RXT,Renault
Hyundai Creta 1.4,Hyundai
Maruti Swift Dzire,Maruti
Hyundai Verna 1.6,Hyundai
Mahindra Scorpio LX,Mahindra
Maruti SX4 Vxi,Maruti
Maruti Ertiga VDI,Maruti
Chevrolet Beat Diesel,Chevrolet
Maruti Zen LX,Maruti
Maruti Baleno Delta,Maruti
Maruti Swift Vdi,Maruti
Tata Nano Lx,Tata
Toyota Innova 2.5,Toyota
Maruti Ertiga SHVS,Maruti
Hyundai Creta 1.6,Hyundai
Honda Amaze S,Honda
Tata Indica Vista,Tata
Chevrolet Tavera Neo,Chevrolet
Chevrolet Cruze LTZ,Chevrolet
Ford Figo Aspire,Ford
Ford EcoSport 1.5,Ford
Hyundai i10 Sportz,Hyundai
Maruti 800 Std,Maruti
Chevrolet Spark 1.0,Chevrolet
Hyundai EON Era,Hyundai
Tata Indica Vista,Tata
Hyundai Santro LP,Hyundai
Tata Bolt Quadrajet,Tata
Maruti 800 AC,Maruti
Hyundai EON Era,Hyundai
Hyundai i20 Magna,Hyundai
Hyundai i20 1.2,Hyundai
Maruti Ciaz VDi,Maruti
Hyundai i20 Asta,Hyundai
